tratta_id;pratica;tipo_sollecito;data_sollecito;note;impresa;created_at
TR_0441;AUT/1/1A;PEC;10/07/2026;Richiesta di riscontro, dopo invio tavole aggiornate concomitanza VIRTUS;Valtellina;2026-07-10T15:41:07.143133+00:00
TR_0439;AUT/1/1A;PEC;10/07/2026;Richiesta di riscontro, dopo invio tavole aggiornate concomitanza VIRTUS;Valtellina;2026-07-10T15:41:07.139046+00:00
TR_0374;AUT/1/1A;PEC;10/07/2026;Richiesta di riscontro, dopo invio tavole aggiornate concomitanza VIRTUS;Valtellina;2026-07-10T15:41:07.131571+00:00
TR_0372;AUT/1/1A;PEC;10/07/2026;Richiesta di riscontro, dopo invio tavole aggiornate concomitanza VIRTUS;Valtellina;2026-07-10T15:41:07.127435+00:00
TR_0813;AUT/1/1A;PEC;10/07/2026;Richiesta di riscontro, dopo invio tavole aggiornate concomitanza VIRTUS;Valtellina;2026-07-10T15:41:07.110950+00:00
TR_0800;AUT/24/1A;PEC;10/07/2026;Pec di sollecito in merito alla presentazione a portale della pratica - l'ente aveva risposto con avvio del procedimento del 08/06/2026;Valtellina;2026-07-10T13:17:14.412932+00:00
TR_0499;AUT/24/1A;PEC;10/07/2026;Pec di sollecito in merito alla presentazione a portale della pratica - l'ente aveva risposto con avvio del procedimento del 08/06/2026;Valtellina;2026-07-10T13:17:14.408887+00:00
TR_0451;AUT/24/1A;PEC;10/07/2026;Pec di sollecito in merito alla presentazione a portale della pratica - l'ente aveva risposto con avvio del procedimento del 08/06/2026;Valtellina;2026-07-10T13:17:14.404847+00:00
TR_0103;AUT/24/1A;PEC;10/07/2026;Pec di sollecito in merito alla presentazione a portale della pratica - l'ente aveva risposto con avvio del procedimento del 08/06/2026;Valtellina;2026-07-10T13:17:14.400970+00:00
TR_0801;AUT/24/1A;PEC;10/07/2026;Pec di sollecito in merito alla presentazione a portale della pratica - l'ente aveva risposto con avvio del procedimento del 08/06/2026;Valtellina;2026-07-10T13:17:14.375707+00:00
TR_0636;AUT/13/1A;PEC;10/07/2026;Sollecito dopo invio integrazione tavole del 29/06/2026;Valtellina;2026-07-10T12:33:36.588141+00:00
TR_0635;AUT/13/1A;PEC;10/07/2026;Sollecito dopo invio integrazione tavole del 29/06/2026;Valtellina;2026-07-10T12:33:36.583559+00:00
TR_0634;AUT/13/1A;PEC;10/07/2026;Sollecito dopo invio integrazione tavole del 29/06/2026;Valtellina;2026-07-10T12:33:36.579980+00:00
TR_0498;AUT/13/1A;PEC;10/07/2026;Sollecito dopo invio integrazione tavole del 29/06/2026;Valtellina;2026-07-10T12:33:36.575876+00:00
TR_0448;AUT/13/1A;PEC;10/07/2026;Sollecito dopo invio integrazione tavole del 29/06/2026;Valtellina;2026-07-10T12:33:36.572366+00:00
TR_0447;AUT/13/1A;PEC;10/07/2026;Sollecito dopo invio integrazione tavole del 29/06/2026;Valtellina;2026-07-10T12:33:36.568085+00:00
TR_0446;AUT/13/1A;PEC;10/07/2026;Sollecito dopo invio integrazione tavole del 29/06/2026;Valtellina;2026-07-10T12:33:36.564159+00:00
TR_0444;AUT/13/1A;PEC;10/07/2026;Sollecito dopo invio integrazione tavole del 29/06/2026;Valtellina;2026-07-10T12:33:36.559918+00:00
TR_0383;AUT/13/1A;PEC;10/07/2026;Sollecito dopo invio integrazione tavole del 29/06/2026;Valtellina;2026-07-10T12:33:36.555746+00:00
TR_0371;AUT/13/1A;PEC;10/07/2026;Sollecito dopo invio integrazione tavole del 29/06/2026;Valtellina;2026-07-10T12:33:36.551309+00:00
TR_0768;AUT/13/1A;PEC;10/07/2026;Sollecito dopo invio integrazione tavole del 29/06/2026;Valtellina;2026-07-10T12:33:36.531158+00:00
TR_0227;AUT/11/2A;PEC;23/06/2026;;Sielte;2026-07-10T10:21:14.240882+00:00
TR_0818;AUT/11/2A;PEC;23/06/2026;;Sielte;2026-07-10T10:21:14.234425+00:00
TR_0545;NO/15/1A;PEC;08/07/2026;;Valtellina;2026-07-09T13:16:55.955001+00:00
TR_0490;NO/17/1A;PEC;08/07/2026;;Valtellina;2026-07-09T13:16:38.714144+00:00
TR_0440;NO/5/1A;PEC;08/07/2026;;Valtellina;2026-07-09T13:16:06.901076+00:00
TR_0446;NO/9/1A;PEC;08/07/2026;;Valtellina;2026-07-09T13:15:35.126074+00:00
TR_0448;NO/9/1A;PEC;08/07/2026;;Valtellina;2026-07-09T13:15:35.104490+00:00
TR_0826;AUT/14/2B;TELEFONICO;08/07/2026;Abbiamo sentito il geom. Alberti della Provincia di Pavia (0382/597664), mi dice che sono un po’ incasinati ma vede di istruire la pratica per la prox. settimana;Telebit;2026-07-08T12:41:19.668144+00:00
TR_0227;AUT/11/2A;TELEFONICO;07/07/2026;istruttore pratica geom. Laura Barozzi 0382597731;Sielte;2026-07-07T13:48:54.557528+00:00
TR_0818;AUT/11/2A;TELEFONICO;07/07/2026;istruttore pratica geom. Laura Barozzi 0382597731;Sielte;2026-07-07T13:48:54.540011+00:00
